layer,development_spearman,development_pearson,development_mae,confirmation_spearman,confirmation_pearson,confirmation_mae
0,-0.39834768339117294,-0.39231861325802386,169.22744252873562,0.0,0.0,212.21916666666667
1,0.7409220811284378,0.7290144225502166,105.82190423896809,0.795665638176532,0.7818742101005894,117.4721269879742
2,0.7998048468860183,0.7926299879740345,93.96605219184333,0.7764330646797521,0.7546394793866814,130.39353885536713
3,0.8393875942393624,0.8327420671710727,87.74776519851754,0.7456609470849047,0.7637712838283425,124.65822393463525
4,0.8270846138136323,0.8252802161812324,83.93754148937741,0.7262407387247416,0.7693194635057908,121.13178788007194
5,0.7607672781741754,0.757500023578983,97.29460558741424,0.7742752637508452,0.8193116998195322,109.74324536188915
6,0.8136600238260869,0.8091288172514216,87.95534726867987,0.7785908656086593,0.812633182023849,105.32323351659875
7,0.7670802384942368,0.7690448387441564,94.83775137643306,0.7648935205816844,0.7750393730672366,110.67995768140027
8,0.8236121383900561,0.8321959365313069,87.80802506688825,0.8076742694330579,0.8478240646669825,91.9391447721066
9,0.8478014021906873,0.859853043829899,79.33446880679841,0.8230603282304816,0.8959174261170288,77.46320345888101
10,0.868924470192301,0.8766019374184415,71.62726354367929,0.8379772998694475,0.9032064128978764,78.05389670739245
11,0.8687091767160392,0.8703643984904494,73.02951637248789,0.8234355979572481,0.9062783914393125,73.69063007031305
12,0.8637088121060896,0.869335934676748,74.7973906129735,0.8853551028737098,0.925398067973113,65.49907484762909
13,0.8455477656407865,0.8549697890458469,76.65561966841425,0.8798198744039047,0.9214280427517417,69.26408539802321
14,0.8251330826255824,0.8301491828307039,80.47035906627907,0.821559249323416,0.912224496050552,70.62773461126763
15,0.8641428715340366,0.8686276879582548,74.70649575507201,0.8490477568090573,0.9279900541217746,65.2220466524365
16,0.8601773046003127,0.8608577581110031,74.91157764239642,0.8421990842955699,0.9157945980926026,68.75100731447489
17,0.871660780826079,0.8705963978445332,74.1275348585744,0.8626512844043406,0.9318360634913255,63.499305828567955
18,0.8860125217517191,0.8869539891230486,68.85855936716325,0.886480912054009,0.9346735928175032,61.857328356022364
19,0.9004614919892193,0.8996105201425623,64.10390987144548,0.8872314515075418,0.9423643342099542,59.61725950010265
20,0.9054201868940861,0.9030837001181841,60.98675773976039,0.8900459744582901,0.9430687369944896,59.344775584251806
21,0.9033957337221411,0.9010305310170833,61.84694515444629,0.8796322395405216,0.941396285321054,60.370068964325284
22,0.9032741970823158,0.902401019808542,63.16162151599454,0.880007509267288,0.9418630909650257,60.247842522010316
23,0.901340028271384,0.9005788430832643,64.88798354870254,0.8802889615623629,0.9396416141512794,64.48898304798912
24,0.9080245434617682,0.9047765036181166,63.105806917076556,0.883384936808186,0.9474474185925126,59.066213419261615
25,0.9054132419432389,0.9004763551471668,63.70755378529052,0.8828220322180363,0.9432951926834277,61.797922507245474
26,0.8956243337241777,0.88908148429204,66.06709472162169,0.863026554131107,0.9352460238304694,67.45850259627528
