layer,spearman,pearson,mae
0,0.0,-9.947495458150966e-17,1.0847222222222221
1,0.688462379732188,0.6952684796774242,0.6715761724422709
2,0.6776573451613911,0.7035702144249738,0.723385545109181
3,0.6754580903372466,0.7187692924420802,0.64743498726566
4,0.7674443138514639,0.8003835756995248,0.5470733841045393
5,0.7765281924729304,0.7740895711151157,0.5478640399409088
6,0.8324657608261706,0.8449942384247949,0.4894166483049247
7,0.8448007117963723,0.8569138153969956,0.4783544064731549
8,0.8220432053552249,0.8713524022749112,0.429729661864943
9,0.8577093814163508,0.8899447897103339,0.40833567730311354
10,0.8820924240318658,0.9082064003264523,0.37423919729725025
11,0.8788413516831304,0.9036041755403784,0.36755626071554315
12,0.8938536563522907,0.9225274031887344,0.31968900187399435
13,0.8929930783776254,0.9387712586096054,0.29653662767709854
14,0.8790325912330561,0.9373562106854313,0.2856084936176827
15,0.8631597085892306,0.9334795506329336,0.30795755763216953
16,0.8447050920214094,0.9470344180395416,0.27577965135177473
17,0.866506400712929,0.9551776687143794,0.2559486146154618
18,0.8874471314297829,0.9593334140361361,0.23647613078262827
19,0.8829530020065312,0.9552936626115206,0.24805814730723047
20,0.8854391161555639,0.9557066403662686,0.2596461958832536
21,0.8804668878574982,0.9541707293907007,0.27030024409376985
22,0.8709049103612178,0.9516148677703257,0.28367705923598907
23,0.858569959391016,0.9521014691061377,0.2727731628658535
24,0.8542670695176898,0.948785509132413,0.291923326582654
25,0.8679406973373708,0.949002997133173,0.282794067221278
26,0.8582831000661275,0.9412650868103666,0.3050622232823008
